Age,Fnlwgt,Education_num,Capital-gain,WorkClass_cat,Marital_status_cat,occupation_cat,Relationship_cat,Race_cat,Sex_cat
18,0.14579467814889774,9,0,4.0,4,8.0,3,4,0
47,0.02686054250825172,15,0,4.0,2,10.0,5,4,0
50,0.16252156314095165,13,0,1.0,0,4.0,1,4,1
47,0.06624943969791228,9,0,5.0,0,4.0,1,4,1
43,0.15329050135151656,10,0,4.0,2,13.0,0,4,1
46,0.13880618301843226,3,0,4.0,2,7.0,0,4,1
35,0.0299282813327719,11,0,4.0,2,8.0,0,4,1
41,0.0917448825742655,9,0,4.0,2,1.0,0,4,1
30,0.1194367096344793,9,5013,4.0,2,7.0,0,4,1
30,0.032063541652517624,13,2407,4.0,2,12.0,0,4,1
32,0.1912844161312669,4,0,4.0,3,7.0,1,4,1
48,0.09328520394995993,9,0,4.0,2,14.0,0,4,1
42,0.0708676872088127,16,0,4.0,2,10.0,0,4,1
29,0.06337390146833105,10,0,4.0,0,13.0,1,4,1
36,0.0972901753575746,9,0,4.0,2,3.0,0,4,1
28,0.11606063487320194,10,0,4.0,0,1.0,1,4,0
53,0.10700819059779139,9,0,4.0,2,1.0,5,4,0
49,0.1218375191861018,10,0,5.0,2,4.0,0,4,1
25,0.12794990559758765,10,0,4.0,4,7.0,3,4,1
19,0.06059684057537931,10,0,4.0,4,10.0,3,4,1
31,0.20217668871653469,13,0,4.0,5,12.0,3,2,0
29,0.10188193586069193,13,0,6.0,2,12.0,0,4,1
23,0.13541856263837765,10,0,4.0,4,7.0,1,4,1
79,0.07637698482769863,10,0,4.0,2,10.0,2,4,1
27,0.13694190516292906,9,0,4.0,4,8.0,3,4,1
40,0.013534860977166841,12,0,4.0,2,1.0,0,4,1
67,0.13615272816180166,6,0,4.0,2,7.0,0,4,1
18,0.20194577634098967,7,0,4.0,4,8.0,3,4,0
31,0.07718042406378615,4,0,2.0,2,5.0,0,4,1
18,0.2951291071840915,9,0,4.0,4,12.0,1,4,1
52,0.17945287350076744,13,0,4.0,2,8.0,0,4,1
46,0.026713166080330343,9,0,4.0,2,8.0,5,4,0
59,0.10027845315874546,9,0,4.0,2,12.0,0,4,1
44,0.2250078102715258,9,14344,4.0,0,3.0,1,4,0
53,0.22681571834123418,9,0,4.0,0,12.0,3,4,0
49,0.17382879884815475,9,0,2.0,2,11.0,0,4,1
33,0.12888034664022494,14,0,4.0,2,10.0,0,4,1
30,0.02855774846850763,5,0,4.0,4,12.0,1,4,1
43,0.2706985778514283,16,0,1.0,4,10.0,1,4,0
57,0.16142948343543284,11,0,4.0,2,10.0,0,4,1
37,0.1863904320778039,10,0,4.0,0,3.0,4,4,0
28,0.1360196139688404,10,0,4.0,0,7.0,4,2,0
30,0.07162494396979123,9,0,4.0,2,12.0,5,1,0
34,0.1453464364787221,13,0,2.0,2,11.0,0,4,1
29,0.07015661292294319,10,0,2.0,4,6.0,1,4,1
48,0.12156314095163065,16,0,6.0,2,10.0,0,4,1
37,0.1293095719971204,10,0,4.0,2,12.0,0,4,1
48,0.10785645400089648,12,0,4.0,0,4.0,4,4,0
32,0.1610437239374635,9,0,1.0,4,8.0,3,2,1
76,0.0760014126404151,14,0,4.0,2,4.0,0,4,1
44,0.1263206150419038,13,15024,4.0,2,4.0,0,4,1
47,0.09292932723000231,14,0,6.0,4,10.0,1,4,0
20,0.11954129935752028,10,0,4.0,4,13.0,3,4,0
29,0.061902853805300126,9,0,4.0,4,3.0,1,4,1
32,0.20739666671194362,9,7688,5.0,2,3.0,0,4,1
17,0.19871232392931365,6,34095,4.0,4,7.0,3,4,0
30,0.12402439521332229,7,0,4.0,4,6.0,3,4,1
31,0.12019668301164071,9,0,2.0,4,1.0,1,4,0
42,0.07634166881732114,9,0,4.0,2,6.0,0,4,1
24,0.28530650222083376,13,0,4.0,4,12.0,2,4,1
38,0.036021651430977575,15,0,4.0,2,10.0,0,4,1
56,0.21958408606240068,9,0,6.0,2,8.0,0,4,1
28,0.24828785265073824,10,4064,4.0,2,12.0,5,4,0
36,0.061517094307330794,9,0,4.0,4,7.0,3,4,0
53,0.056615639559364855,5,0,4.0,2,6.0,0,4,1
56,0.19750139226579375,10,0,5.0,2,12.0,0,4,1
49,0.1257019057062523,11,0,2.0,2,3.0,0,2,1
55,0.15978253487456026,10,0,4.0,2,12.0,0,4,1
22,0.061359530568723605,9,0,4.0,4,3.0,1,4,1
21,0.12742967359856563,10,0,4.0,4,8.0,3,4,0
40,0.07237608834435827,13,0,4.0,2,4.0,0,4,1
30,0.04404857309734994,13,0,4.0,4,4.0,3,2,1
29,0.1736624061069532,13,0,7.0,2,10.0,0,4,1
19,0.19649352766194428,10,0,4.0,4,8.0,3,2,1
47,0.18713614322000516,13,0,4.0,2,4.0,5,4,0
20,0.06751606199318129,10,0,4.0,4,1.0,3,4,0
31,0.0697165211013162,12,0,4.0,2,1.0,0,4,1
35,0.07947460643023051,9,0,4.0,2,7.0,0,4,1
39,0.24004971407614675,10,0,4.0,0,3.0,1,4,1
28,0.03893997636543921,12,0,4.0,4,12.0,1,4,0
24,0.021079583271077548,9,0,4.0,4,8.0,1,4,0
38,0.0738240447698347,9,4386,6.0,2,3.0,0,4,1
37,0.16429890927860258,13,0,4.0,2,12.0,0,4,1
46,0.09094551826245229,12,0,4.0,0,13.0,1,2,0
38,0.07718449898806047,14,0,1.0,2,10.0,0,4,1
43,0.030314040830741226,9,0,6.0,2,3.0,0,4,1
27,0.10244495456459435,11,0,4.0,2,1.0,5,4,0
20,0.014958367856997326,10,0,4.0,4,12.0,3,4,1
49,0.04732888713818068,10,0,4.0,2,3.0,0,1,1
61,0.036897760149957215,9,0,5.0,2,3.0,0,4,1
27,0.14975142961926624,10,0,4.0,4,12.0,3,4,0
19,0.20685877670773287,10,0,4.0,4,8.0,3,4,1
45,0.12516741147227015,11,0,4.0,4,10.0,1,4,0
70,0.06322312927018106,10,0,4.0,4,13.0,2,4,1
31,0.11785292239985873,9,0,4.0,4,14.0,4,2,0
22,0.11076255416253515,10,0,4.0,2,8.0,0,4,1
36,0.0652042216215482,9,0,4.0,6,8.0,4,4,0
64,0.11474103856236673,7,0,4.0,2,3.0,0,4,1
43,0.11027899648198204,10,0,4.0,0,7.0,1,4,0
47,0.11798535743877428,10,0,2.0,0,1.0,4,4,0
34,0.12625337879137746,9,0,4.0,4,1.0,1,4,0
33,0.10236073946292498,13,0,4.0,4,4.0,2,1,0
21,0.1927934964208582,9,0,4.0,4,3.0,3,4,1
52,0.16341668817321145,9,0,4.0,0,7.0,1,4,1
48,0.11914399424077371,9,0,4.0,2,3.0,0,4,1
23,0.1373636598253216,13,0,4.0,4,6.0,1,4,1
71,0.32731014248651885,10,0,6.0,5,12.0,4,2,1
29,0.1217383626954266,9,0,4.0,0,3.0,1,4,1
42,0.1468134092174787,13,0,4.0,5,8.0,2,2,1
68,0.01767973811819997,2,0,4.0,0,7.0,1,4,0
25,0.16331413591230765,9,0,4.0,4,8.0,4,4,0
44,0.044884611727632064,14,0,5.0,0,4.0,4,1,0
28,0.051706714116895994,9,0,4.0,4,4.0,1,1,0
45,0.12822088806183018,14,0,6.0,2,12.0,0,4,1
36,0.1323481071976746,10,0,4.0,0,8.0,4,4,0
39,0.15158718300484916,12,0,1.0,4,4.0,1,4,1
46,0.06135681395254072,14,0,7.0,6,11.0,4,4,1
18,0.009197783241194768,7,0,4.0,4,6.0,3,4,1
66,0.028891892259002183,11,0,2.0,6,10.0,1,4,0
27,0.07651892802325423,9,0,4.0,4,8.0,1,4,1
28,0.11072927561429484,9,0,7.0,2,11.0,0,4,1
51,0.05689748848833892,10,0,4.0,2,12.0,0,4,1
27,0.2823548987381318,13,0,4.0,4,3.0,1,4,1
28,0.0932743374852284,13,0,7.0,2,10.0,0,4,1
27,0.16403539750886298,9,0,4.0,3,12.0,4,4,0
21,0.20420192608087367,9,0,4.0,4,3.0,3,2,1
34,0.32021569932492094,9,0,4.0,4,6.0,1,2,1
18,0.11657339617772103,9,0,4.0,4,8.0,3,4,1
33,0.016971380448513332,13,0,4.0,2,10.0,0,4,1
44,0.11481710381548743,10,0,2.0,2,4.0,0,2,1
43,0.06947406310699393,10,0,4.0,0,1.0,1,4,0
30,0.42206503579141824,10,0,4.0,4,3.0,1,2,1
40,0.18614593662134446,4,0,4.0,2,7.0,0,4,1
37,0.011388734192689586,10,0,1.0,2,1.0,0,4,1
34,0.19813979706877113,9,0,4.0,2,1.0,0,2,1
41,0.08886323195827278,13,0,6.0,0,4.0,1,4,0
53,0.08341369989541028,13,0,4.0,0,7.0,1,4,0
31,0.05952309802909496,14,0,4.0,2,10.0,5,4,0
58,0.0660694638757963,16,0,7.0,2,10.0,0,4,1
38,0.09707624183317261,10,0,4.0,0,7.0,1,2,0
24,0.10002716616182883,10,0,4.0,2,7.0,0,4,1
41,0.3474721886418278,13,0,2.0,2,3.0,0,2,1
47,0.07379280368373155,10,0,4.0,2,13.0,0,4,1
41,0.08046277556675405,13,0,1.0,2,13.0,0,4,1
23,0.12571277217098384,3,0,4.0,2,14.0,2,4,1
36,0.05914684668776572,10,0,4.0,0,3.0,1,4,1
40,0.03022914657502615,14,14084,1.0,4,4.0,1,4,0
35,0.08605357167112644,14,7298,4.0,2,10.0,2,4,1
24,0.014015022887491341,9,0,6.0,4,12.0,1,4,1
26,0.2614960405319135,14,0,4.0,4,10.0,1,4,0
19,0.10755626791268796,9,0,4.0,4,7.0,3,4,1
51,0.16777685714673804,13,0,4.0,2,4.0,0,4,1
42,0.1647165890167208,10,0,2.0,4,10.0,1,4,0
37,0.024399288246560083,9,0,7.0,0,1.0,4,4,0
18,0.08684954021271105,7,0,4.0,4,12.0,3,4,0
36,0.07910243001317559,13,7298,4.0,2,8.0,0,2,1
35,0.0162895097866098,9,0,4.0,0,3.0,1,4,1
58,0.1346613058773991,9,15024,5.0,2,12.0,5,4,0
17,0.03605153420898928,7,0,4.0,4,12.0,3,4,0
44,0.10096168212874045,9,0,2.0,2,14.0,0,2,1
37,0.13316377120658507,9,0,4.0,2,3.0,0,4,1
35,0.09610369323970064,10,0,4.0,4,12.0,1,0,0
60,0.04993819698183942,9,0,4.0,2,3.0,0,1,1
54,0.07683405550046862,4,0,5.0,2,7.0,0,4,1
37,0.4235394792246778,13,0,4.0,4,4.0,1,2,1
50,0.2044498173075617,12,0,4.0,0,12.0,1,4,0
38,0.11567623368332405,13,0,4.0,2,12.0,0,4,1
45,0.06597913638771546,13,0,4.0,2,10.0,0,4,1
25,0.16484359082327055,6,0,4.0,4,3.0,1,4,1
31,0.1260340120346097,10,0,4.0,2,6.0,0,4,1
64,0.11910392415207618,2,0,4.0,0,7.0,1,4,1
90,0.026798739490091143,9,0,4.0,4,8.0,1,2,1
54,0.11165020850029204,9,0,4.0,2,1.0,0,2,1
53,0.08698197525162657,1,0,2.0,4,7.0,1,4,0
18,0.15690360087475042,9,0,4.0,4,12.0,3,4,0
60,0.00810230776544736,6,0,4.0,0,7.0,1,0,0
66,0.1055418970130805,9,1409,6.0,2,5.0,0,4,1
75,0.20505290610016164,11,0,4.0,6,1.0,1,4,0
65,0.11172831121554991,9,0,4.0,0,1.0,1,4,0
35,0.35743741595468687,7,3674,4.0,5,14.0,1,2,1
41,0.08022371334266039,9,0,4.0,0,12.0,4,2,0
25,0.10013922657937274,10,0,4.0,4,1.0,1,4,1
33,0.06702775023430815,10,0,4.0,0,3.0,2,3,0
28,0.04375721601173578,15,0,4.0,4,10.0,1,4,1
59,0.17414528463346057,9,0,7.0,2,8.0,0,4,1
40,0.10746933619483572,10,0,7.0,4,1.0,1,4,0
41,0.11399804403634833,13,0,4.0,2,4.0,0,4,1
38,0.06981092351367137,14,0,2.0,2,4.0,0,4,1
23,0.07007036035913666,9,0,4.0,4,14.0,3,4,1
40,0.22792749351407887,13,0,4.0,2,10.0,0,4,1
41,0.124771464663615,9,0,6.0,2,8.0,5,4,0
24,0.17768028144143655,12,0,7.0,2,11.0,0,4,1
20,0.07258187202021163,10,0,4.0,4,7.0,3,4,1
38,0.11355659390662991,10,0,4.0,0,3.0,1,4,1
56,0.12991877317613182,9,0,4.0,2,1.0,0,4,1
58,0.1523417231496448,9,0,4.0,2,1.0,0,4,1
32,0.11656388802108095,9,0,4.0,4,8.0,1,4,0
40,0.13263403105092297,12,0,4.0,2,13.0,0,4,1
45,0.09566292226402794,9,0,4.0,2,1.0,0,4,1
41,0.0682400402059195,15,0,4.0,2,10.0,5,4,0
42,0.2570570896890833,13,0,4.0,2,1.0,5,2,0
59,0.1080146968935494,6,0,2.0,6,8.0,4,2,0
19,0.01025318862824466,10,0,2.0,4,1.0,3,4,1
58,0.16756699854661034,10,0,4.0,4,14.0,1,4,1
42,0.19747015117969058,9,0,6.0,2,5.0,0,1,1
20,0.0716534684397115,9,0,4.0,4,8.0,3,4,0
32,0.10886431860474594,9,0,4.0,5,8.0,1,4,0
45,0.1191107156925334,11,0,4.0,6,4.0,1,4,0
50,0.1305558196710178,4,0,4.0,0,3.0,1,4,1
36,0.09355822387633964,13,0,4.0,0,10.0,3,4,0
45,0.05827617120115185,9,0,4.0,2,12.0,0,4,1
17,0.1586727971638527,7,0,4.0,4,8.0,3,4,1
59,0.09082191222613113,10,4064,4.0,2,12.0,0,4,1
26,0.24859550943344969,7,0,4.0,2,3.0,0,4,1
37,0.16639953274201655,10,0,5.0,2,4.0,0,1,1
19,0.14036144578313253,10,0,4.0,4,7.0,3,4,1
64,0.006037000312410862,9,0,4.0,2,4.0,0,4,1
33,0.11762608494858803,13,0,4.0,4,10.0,1,4,0
33,0.14256801727767893,9,0,4.0,2,3.0,5,4,0
61,0.03910704826068649,9,0,4.0,2,4.0,0,4,1
17,0.1215515953328534,5,1055,4.0,4,8.0,3,4,1
50,0.012474701511796906,14,2407,6.0,2,5.0,0,4,1
27,0.13367381589492128,14,0,2.0,4,10.0,3,4,1
30,0.03945341682400402,9,0,4.0,0,10.0,3,4,0
43,0.31628068078401544,9,0,4.0,2,6.0,0,2,1
44,0.10774031865907825,10,7298,4.0,2,3.0,0,4,1
35,0.12081403403920077,10,0,4.0,4,4.0,1,4,0
25,0.1232678176063895,10,0,4.0,4,13.0,3,4,0
24,0.1814611320139634,10,7298,4.0,2,7.0,5,4,0
22,0.01537129351679548,13,0,4.0,4,10.0,1,4,0
42,0.058001792966680704,10,5178,2.0,2,3.0,0,4,1
34,0.11078904117031825,12,0,4.0,0,12.0,4,2,0
60,0.10980223034188615,13,0,4.0,0,10.0,1,4,0
21,0.13139864984175711,9,0,4.0,4,6.0,3,4,1
57,0.28040640578095927,14,15024,1.0,2,12.0,0,4,1
41,0.14143111340514256,15,0,4.0,2,10.0,0,4,1
50,0.11160130940900015,10,0,4.0,0,8.0,1,4,1
25,0.24429306855380936,13,0,4.0,4,4.0,1,4,0
50,0.1233336955488244,4,0,4.0,2,3.0,0,4,1
36,0.12772646391654555,13,0,4.0,2,10.0,0,4,1
31,0.0783132530120482,9,0,4.0,0,10.0,1,4,0
29,0.14135504815202185,13,0,2.0,4,11.0,1,4,1
21,0.14917346952635796,10,0,4.0,4,12.0,3,4,1
27,0.16035981581342282,13,0,4.0,4,13.0,4,2,0
65,0.06710721125765746,9,0,4.0,2,14.0,0,4,1
37,0.030656334469784434,13,0,5.0,0,12.0,1,4,0
39,0.09858464296871816,14,3464,4.0,2,7.0,5,1,0
24,0.18054970728460631,9,0,4.0,4,3.0,3,4,1
38,0.10675214952255471,9,0,4.0,0,12.0,1,4,1
48,0.0909950965077899,13,7688,4.0,2,1.0,0,4,1
21,0.09605479414840874,10,0,4.0,4,8.0,1,1,0
31,0.13934543133073443,9,0,4.0,2,14.0,0,4,1
55,0.15372855571100638,9,4386,4.0,2,12.0,0,4,1
24,0.19764129799921218,10,0,4.0,2,1.0,5,1,0
43,0.10936825090667066,9,0,4.0,0,1.0,1,4,0
26,0.12337512394561334,12,0,4.0,4,13.0,1,4,1
46,0.04808206897488489,12,0,4.0,4,10.0,1,4,0
35,0.12328683391966966,12,0,4.0,2,1.0,0,4,1
41,0.015418155145950204,10,0,5.0,2,5.0,0,4,1
26,0.0319345023838307,13,0,4.0,4,12.0,1,4,1
34,0.08870566821966559,14,7298,4.0,2,4.0,0,1,1
19,0.575965417475992,10,0,4.0,4,7.0,3,2,0
36,0.1312954184268076,13,0,6.0,0,10.0,1,2,0
22,0.12728229717064424,10,0,4.0,4,12.0,3,4,1
24,0.12202292824058353,10,0,4.0,4,7.0,1,4,1
77,0.08586476684641611,10,0,6.0,2,12.0,0,4,1
22,0.262698143192839,3,0,4.0,2,7.0,2,4,0
29,0.2790460602273808,10,0,4.0,4,13.0,1,4,0
62,0.10021325437035629,9,0,4.0,6,8.0,1,4,0
39,0.11003857594979694,9,0,6.0,2,4.0,0,4,1
43,0.02585607367463088,10,0,4.0,2,3.0,0,4,1
35,0.11805395199739205,9,0,4.0,0,14.0,1,4,1
29,0.12774615938387146,7,0,4.0,4,4.0,1,4,0
76,0.11003925510384266,14,0,6.0,2,3.0,0,4,1
63,0.044890724114043545,9,0,6.0,2,5.0,0,4,1
23,0.13536626777685715,11,0,4.0,4,7.0,3,2,0
43,0.11915282324336807,10,0,4.0,2,10.0,5,4,0
58,0.2097811765664688,9,0,6.0,2,6.0,0,4,1
66,0.07853465723095313,9,2050,4.0,4,14.0,1,4,1
41,0.13194604800260795,10,0,4.0,4,3.0,1,2,1
26,0.14416946251748822,13,0,4.0,4,1.0,1,4,1
47,0.11301191236196194,11,0,4.0,4,8.0,1,4,1
55,0.0585838279838633,6,0,2.0,2,1.0,0,4,1
53,0.15642343896442593,9,0,4.0,2,14.0,0,4,1
17,0.17566794800396626,3,0,4.0,4,8.0,2,4,1
30,0.0556566740468073,9,0,4.0,4,3.0,2,4,1
49,0.040008964833403514,14,0,4.0,4,10.0,1,4,1
19,0.06236467855639016,9,0,4.0,4,12.0,4,2,1
45,0.16904619605818993,9,0,4.0,2,8.0,0,2,1
26,0.05613276103285747,12,0,4.0,4,12.0,1,4,1
38,0.1930108257154888,11,7298,4.0,2,3.0,0,4,1
36,0.07266065388951522,9,7298,7.0,2,11.0,0,4,1
33,0.04941389005854308,9,0,4.0,4,5.0,1,4,1
22,0.19089594001711468,10,0,7.0,4,11.0,3,2,0
43,0.15594056043791854,13,0,6.0,4,12.0,1,4,1
67,0.01619782399043751,7,0,4.0,2,7.0,0,4,1
30,0.09488053680335774,11,0,4.0,0,7.0,4,4,0
56,0.06033808288395974,12,0,4.0,3,8.0,1,4,1
31,0.09791975115795765,13,0,4.0,4,10.0,3,4,1
33,0.07177164124366689,13,0,4.0,2,4.0,0,4,1
26,0.12223210768666548,9,0,4.0,2,8.0,0,4,1
33,0.0672892245419106,13,0,4.0,2,4.0,0,4,1
46,0.2156089974327977,7,0,2.0,2,14.0,0,4,1
59,0.24431548063731814,13,0,4.0,2,7.0,0,4,1
38,0.05646962143953492,9,0,1.0,2,1.0,0,4,1
65,0.10127205552763478,7,0,4.0,6,8.0,4,3,1
40,0.05694299180940221,11,0,4.0,2,13.0,0,4,1
42,0.0676872088127029,9,0,4.0,2,1.0,5,4,0
26,0.07120251015335298,5,0,6.0,2,3.0,0,4,1
36,0.228017141848114,6,0,4.0,2,8.0,5,4,0
62,0.1750906670651037,14,0,4.0,2,10.0,0,4,1
43,0.11431792559188275,13,0,4.0,2,14.0,0,4,1
43,0.11021991008000435,13,0,4.0,0,4.0,1,4,1
22,0.27040789991985986,9,0,4.0,3,12.0,1,4,1
28,0.05431670311460045,9,0,4.0,2,3.0,0,4,1
56,0.1159967943929042,10,0,6.0,2,12.0,0,4,1
22,0.2379103788321267,12,0,4.0,4,12.0,1,4,0
57,0.13594151125358253,13,0,4.0,0,4.0,1,4,0
39,0.3183704377826979,9,0,4.0,0,12.0,4,4,0
26,0.11790114233710491,10,0,1.0,4,1.0,4,4,0
17,0.052658888088996346,7,0,4.0,4,8.0,3,4,1
40,0.11663316173374445,11,0,7.0,2,7.0,0,4,1
45,0.165960799228481,9,0,4.0,2,7.0,0,2,1
44,0.10054060662039364,9,0,4.0,4,3.0,1,2,1
20,0.2299343937191834,10,0,2.0,4,1.0,3,4,0
33,0.17326510099020662,9,0,4.0,2,3.0,5,4,0
23,0.015856888659485743,10,0,4.0,4,12.0,1,4,1
46,0.046609663003762514,14,0,6.0,0,4.0,1,4,1
38,0.10910066421265671,9,0,4.0,2,12.0,0,4,1
54,0.11004604664429986,9,0,4.0,0,14.0,1,4,1
46,0.1376441504462042,3,0,4.0,0,3.0,1,4,0
25,0.2259586259355347,10,0,4.0,2,3.0,0,4,1
46,0.06547995816411079,10,0,4.0,0,12.0,1,4,0
36,0.07132951195990275,10,0,2.0,2,14.0,5,4,0
23,0.2606688309042257,9,0,4.0,4,8.0,1,4,0
29,0.0827664660898385,9,0,4.0,5,7.0,1,4,1
44,0.10169856426834735,10,0,4.0,2,1.0,5,4,0
19,0.008926800776952229,10,0,4.0,4,1.0,3,4,0
19,0.1494865595414352,9,0,4.0,4,8.0,2,4,0
35,0.1411370397033455,9,0,4.0,2,8.0,5,4,0
27,0.19628706483204522,13,0,4.0,4,3.0,1,4,1
46,0.1804247429401937,12,0,6.0,5,3.0,1,4,1
34,0.058282283587563335,13,7688,7.0,2,4.0,0,4,1
34,0.12488216677306746,9,0,4.0,4,8.0,1,4,0
44,0.0701409923798916,10,0,4.0,2,13.0,0,4,1
45,0.057517556132081885,10,0,4.0,0,6.0,4,4,0
20,0.0849044430257671,9,0,4.0,4,7.0,2,4,0
25,0.05065606280816615,13,0,4.0,2,4.0,0,4,1
52,0.08142581600358594,13,0,5.0,2,4.0,0,4,1
20,0.2742546284348216,10,0,4.0,4,6.0,3,4,1
28,0.06539506390839571,10,0,4.0,4,8.0,1,4,0
50,0.1874926990940085,13,0,7.0,2,11.0,0,4,1
34,0.14629249806441097,11,0,4.0,0,13.0,1,4,0
28,0.10472283723394141,4,0,4.0,2,6.0,0,3,1
41,0.2941395797394765,14,0,4.0,2,4.0,0,4,1
28,0.06646201491422285,9,0,4.0,2,1.0,0,4,1
46,0.2071202510153353,9,0,6.0,2,3.0,0,4,1
28,0.07529237581668274,10,0,4.0,2,7.0,5,4,0
32,0.23931486939867702,10,0,4.0,2,4.0,0,4,1
41,0.020416049768408474,10,0,2.0,0,8.0,1,2,0
24,0.1559785930644789,9,0,4.0,4,6.0,4,2,0
33,0.07213634696621887,10,0,4.0,0,4.0,4,4,0
46,0.11959970660545224,16,15024,4.0,2,4.0,0,4,1
31,0.6933734939759036,10,0,7.0,2,7.0,0,4,1
35,0.05443759253473873,8,0,4.0,0,3.0,1,4,1
52,0.12121337661808451,2,0,4.0,2,7.0,0,4,1
30,0.28098776164409617,7,0,4.0,4,8.0,3,4,0
34,0.15727985221607965,7,0,2.0,5,7.0,1,2,1
34,0.15484576411621684,9,0,7.0,0,14.0,4,4,0
20,0.033612692030806426,10,0,4.0,2,12.0,0,4,1
17,0.11052485024653293,7,2176,4.0,4,6.0,3,4,1
32,0.05414080221675881,13,0,7.0,2,4.0,5,4,0
29,0.11960989391613805,9,0,4.0,0,5.0,1,4,1
33,0.1468623083087706,6,0,4.0,4,3.0,4,4,0
25,0.08223740508822211,9,0,4.0,2,14.0,0,4,1
36,0.1649705926298203,14,0,1.0,4,10.0,1,4,1
23,0.13064750546719006,9,0,4.0,4,6.0,1,4,1
63,0.14262506621751947,9,0,5.0,2,4.0,0,4,1
47,0.18689979761209438,14,0,2.0,2,10.0,0,4,1
80,0.06484359082327054,9,0,4.0,6,7.0,1,4,1
17,0.12919954904171366,7,0,4.0,4,7.0,3,4,1
40,0.13028279974463808,13,2174,6.0,3,10.0,1,4,0
30,0.011801659852487741,12,0,4.0,2,8.0,5,4,0
27,0.07068159900028524,10,0,4.0,4,3.0,3,1,1
33,0.13319569144673396,14,0,4.0,2,10.0,0,4,1
34,0.18510886839352902,9,594,2.0,4,5.0,1,2,1
34,0.07112984067046088,10,0,2.0,4,11.0,1,4,0
23,0.04685891253854199,10,0,4.0,2,1.0,0,4,1
42,0.2226694828921096,10,0,2.0,2,1.0,5,4,0
29,0.23847815161434918,13,0,4.0,4,10.0,1,4,1
45,0.022800559622933675,9,0,4.0,0,1.0,1,4,0
24,0.12142459352630364,9,0,1.0,4,2.0,3,4,1
44,0.0708676872088127,10,0,4.0,2,10.0,0,4,1
27,0.2672946577742764,5,0,4.0,4,3.0,2,4,1
20,0.1941986661414542,10,0,4.0,4,12.0,1,4,1
